index,current_time,crawled_at,pressure,country,wind_direction,sky,uniq_id,visibility,temparature,dev_point,place,location,data_category,latest_report,wind,forecast,feels_like,index_date_format
0,"19 Jan 2020, 11:06:34",Sun Jan 19 15:36:34 2020, 1020 mbar,Albania, from Southeast,Broken clouds.,6817a79c-0213-5c79-bb75-88bc16ca44dd, N/A,11 °C, 8 °C," Weather in Gjirokastër, Albania",Kerkyra Airport,weather," 19 Jan 2020, 10:20",11 km/h ,13 / 2 °C,10 °C,2020.01.19
1,"19 Jan 2020, 20:36:34",Sun Jan 19 15:36:34 2020, 1008 mbar,Australia, from South,Cool.,215d740f-ed79-5643-80a3-5fdcbc7b6b54, N/A,16 °C, 15 °C," Weather in Mount Gambier, South Australia, Australia",Mount Gambier Aerodrome,weather," 19 Jan 2020, 19:30",30 km/h ,16 / 13 °C,16 °C,2020.01.19
2,"19 Jan 2020, 21:06:34",Sun Jan 19 15:36:34 2020, 1006 mbar,Australia,na,Mild.,fe46e09e-8735-54bd-9e86-19ae8335e915, N/A,22 °C, 19 °C," Weather in Eden, New South Wales, Australia",Green Cape Aws,weather," 19 Jan 2020, 20:00",No wind,25 / 18 °C,21 °C,2020.01.19
3,"19 Jan 2020, 11:06:34",Sun Jan 19 15:36:34 2020, 1012 mbar,Angola, from Southwest,Scattered clouds.,6aa0c99b-30b6-5e10-bddc-523b24ca8f63, N/A,30 °C, 25 °C," Weather in Cabinda, Angola",Pointe Airport-Noire,weather," 19 Jan 2020, 10:00",7 km/h ,30 / 26 °C,36 °C,2020.01.19
4,"19 Jan 2020, 11:06:34",Sun Jan 19 15:36:35 2020, N/A,Austria, from Southwest,Overcast.,6fc9e671-d5ad-563f-8c03-ade510d95ef0, 12 km,-2 °C, -5 °C," Weather in Mayrhofen, Tyrol, Austria",Krimml,weather," 19 Jan 2020, 10:00",2 km/h ,0 / -9 °C,-2 °C,2020.01.19
5,"19 Jan 2020, 11:06:34",Sun Jan 19 15:36:35 2020, 1031 mbar ,Austria, from Northwest,Chilly.,902c57ff-f415-5a3a-9566-7979c4a9b8f9, N/A,2 °C, 1 °C," Weather in Zwettl, Lower Austria, Austria",Retz,weather," 19 Jan 2020, 10:00",7 km/h ,1 / -3 °C,0 °C,2020.01.19
6,"19 Jan 2020, 11:06:34",Sun Jan 19 15:36:35 2020, 1021 mbar,Albania, from South,Scattered clouds.,31612738-627f-5dbb-a7e7-b2bc4e86fdd8, N/A,12 °C, 6 °C," Weather in Tirana, Albania",Tirana Airport,weather," 19 Jan 2020, 10:20",11 km/h ,14 / 2 °C,11 °C,2020.01.19
7,"19 Jan 2020, 21:06:35",Sun Jan 19 15:36:35 2020, N/A,Australia, from South,Mild.,cfd2a7f9-1d46-5520-ab7f-8eec7fe2a3b5, N/A,22 °C, 19 °C," Weather in Wollongong, New South Wales, Australia",Bellambi Aws,weather," 19 Jan 2020, 19:00",6 km/h ,25 / 20 °C,22 °C,2020.01.19
8,"19 Jan 2020, 11:06:35",Sun Jan 19 15:36:35 2020, 1036 mbar ,Austria, from Southeast,Chilly.,eb0c5057-19df-5b83-9850-e7bf3760d2bc, N/A,-4 °C, -7 °C," Weather in Reutte, Tyrol, Austria",Landeck,weather," 19 Jan 2020, 10:00",7 km/h ,-2 / -10 °C,-7 °C,2020.01.19
9,"19 Jan 2020, 11:06:35",Sun Jan 19 15:36:35 2020, 1031 mbar,Austria, from Northwest,Chilly.,cc5457af-5518-5bc9-bbdc-2b7a4049263c, N/A,2 °C, 1 °C," Weather in Hollabrunn, Lower Austria, Austria",Retz,weather," 19 Jan 2020, 10:00",7 km/h ,3 / -2 °C,0 °C,2020.01.19
10,"19 Jan 2020, 11:06:35",Sun Jan 19 15:36:35 2020, 1014 mbar,Benin, from Northeast,Partly sunny.,45edb7bb-0959-5acb-93e0-539d1d4c69f8, 1 km,22 °C, 2 °C," Weather in Parakou, Benin",Parakou,weather," 19 Jan 2020, 10:00",32 km/h ,36 / 16 °C,24 °C,2020.01.19
11,"19 Jan 2020, 11:06:35",Sun Jan 19 15:36:35 2020, 1018 mbar,Benin, from East,Haze.,465c11d0-659b-58a9-8df6-46aa72e23112, 2 km,22 °C, -1 °C," Weather in Djougou, Benin",Niamtougou,weather," 19 Jan 2020, 10:00",28 km/h ,35 / 15 °C,24 °C,2020.01.19
12,"19 Jan 2020, 21:06:35",Sun Jan 19 15:36:35 2020, 1005 mbar,Australia,na,Mild.,da6f90e2-8fcf-5e3b-a5f7-166530406684, N/A,24 °C, 19 °C," Weather in Mosman, New South Wales, Australia",Sydney Regional Office,weather," 19 Jan 2020, 19:00",,28 / 20 °C,24 °C,2020.01.19
13,"19 Jan 2020, 11:06:35",Sun Jan 19 15:36:35 2020, 1026 mbar,Algeria, from Northwest,Sunny.,d43c84df-136b-5646-adc8-88a8ce5b3143, 16 km,8 °C, -10 °C," Weather in Tindouf, Algeria",Tindouf,weather," 19 Jan 2020, 10:00",7 km/h ,18 / 9 °C,7 °C,2020.01.19
14,"19 Jan 2020, 11:06:35",Sun Jan 19 15:36:35 2020, 1028 mbar ,Andorra, from West,Sunny.,eb358478-bc29-5851-b8d1-6608e4ca8134, 16 km,6 °C, 0 °C," Weather in Andorra La Vella, Andorra",Carcassonne Airport,weather," 19 Jan 2020, 10:30",22 km/h ,1 / -6 °C,2 °C,2020.01.19
15,"19 Jan 2020, 16:06:35",Sun Jan 19 15:36:36 2020, 1013 mbar,Bangladesh, from Northwest,Scattered clouds.,aa71ced2-47bf-54f4-a8b0-07c696067c13, 3 km,26 °C, 15 °C," Weather in Tangail, Bangladesh",Solpur,weather," 19 Jan 2020, 15:30",19 km/h ,23 / 15 °C,27 °C,2020.01.19
16,"19 Jan 2020, 16:06:35",Sun Jan 19 15:36:36 2020, 1013 mbar,Bangladesh, from North,Haze.,a0718afd-fa1b-5aaf-a707-a9510f9e2cbc, 3 km,27 °C, 18 °C," Weather in Dhaka, Bangladesh",Agartala Airport,weather," 19 Jan 2020, 15:30",6 km/h ,26 / 18 °C,28 °C,2020.01.19
17,"19 Jan 2020, 16:06:35",Sun Jan 19 15:36:36 2020, 1013 mbar,Bangladesh, from North,Sunny.,9e7f5b9b-ab13-5e43-bea9-ad7c0a81648c, 2 km,27 °C, 18 °C," Weather in Comilla, Bangladesh",Agartala,weather," 19 Jan 2020, 15:00",2 km/h ,25 / 14 °C,28 °C,2020.01.19
18,"19 Jan 2020, 11:06:35",Sun Jan 19 15:36:36 2020, 1038 mbar,Belgium, from Northwest,Ice fog.,856ff3d0-963a-5ce2-ad08-bc9be09ba061, 0 km,0 °C, -2 °C," Weather in Spa, Liège, Belgium",Spa / La Sauveniere,weather," 19 Jan 2020, 10:00",4 km/h ,4 / -1 °C,0 °C,2020.01.19
19,"19 Jan 2020, 11:06:36",Sun Jan 19 15:36:36 2020, 1040 mbar,Belgium, from Northwest,Broken clouds.,e69a1422-556e-5d81-a49a-b9b7a2b59ce7, N/A,4 °C, 2 °C," Weather in Kortrijk, West Flanders, Belgium",Lille Airport,weather," 19 Jan 2020, 10:30",15 km/h ,7 / 0 °C,1 °C,2020.01.19
20,"19 Jan 2020, 11:06:36",Sun Jan 19 15:36:36 2020, 1038 mbar,Belgium, from North,Broken clouds.,99bc278c-d87b-575f-9a70-876911a8921f, N/A,2 °C, 0 °C," Weather in Namur, Belgium",Charleroi / Gosselies,weather," 19 Jan 2020, 10:20",9 km/h ,5 / 1 °C,-1 °C,2020.01.19
21,"19 Jan 2020, 11:06:36",Sun Jan 19 15:36:36 2020, 1038 mbar,Belgium, from North,Passing clouds.,5c0ec0e6-ae9d-5f91-bb5e-8ef210006564, N/A,3 °C, 1 °C," Weather in Brussels, Belgium",Brussels National Airport,weather," 19 Jan 2020, 10:20",7 km/h ,6 / 0 °C,1 °C,2020.01.19
22,"19 Jan 2020, 11:06:36",Sun Jan 19 15:36:37 2020, 1040 mbar,Belgium, from Northeast,Sprinkles. Scattered clouds.,29c7ddd8-ee3e-5e07-9359-172136bb278d, N/A,8 °C, 2 °C," Weather in Bruges, West Flanders, Belgium",Oostende Airport,weather," 19 Jan 2020, 10:20",22 km/h ,6 / 0 °C,5 °C,2020.01.19
23,"19 Jan 2020, 11:06:36",Sun Jan 19 15:36:37 2020, 1038 mbar,Belgium, from North,Broken clouds.,143ca00c-8df6-563d-95f5-80f344663043, N/A,2 °C, 0 °C," Weather in Charleroi, Hainaut, Belgium",Charleroi / Gosselies,weather," 19 Jan 2020, 10:20",9 km/h ,5 / 1 °C,-1 °C,2020.01.19
